trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930642958	listener	fish-body_color-white	fish-stripes_color-orange	fish-fangs_present-false	this is one of the two that look alike~~~ There is no difference between them	32859	speaker	52319	chatMessage		
0	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930662760	listener	fish-body_color-white	fish-stripes_color-orange	fish-fangs_present-false	One has a long white tooth and one doesn't~~~ Which one do you see?	11790	listener	72116	chatMessage		
0	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930700749	listener	fish-body_color-white	fish-stripes_color-orange	fish-fangs_present-false	My picture is cut off~~~ I see no mouth at all~~~ I don't know if this is on purpose or is mine messed up?	26779	speaker	110110	chatMessage		
0	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930726984	listener	fish-body_color-white	fish-stripes_color-orange	fish-fangs_present-false	Eek~~~ I'm thinking it's messed up~~~ I will click one and see if it gets better for you~~~ 	17508	listener	136339	chatMessage		
1	birds_purple_wings_crests	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930745045	listener	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-orange	This one has no feathers on its head	9174	speaker	13350	chatMessage		
2	birds_orange_wings_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930762797	listener	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-crest_tail_color-white	This one has no tail feathers	5902	speaker	11375	chatMessage		
3	trees_purple_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930782592	listener	tree-berries_color-purple	tree-berries_present-true	tree-trunk_color-white	The has a red trunk and green berries	10080	speaker	13884	chatMessage		
4	fish_white_stripes_or_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930819639	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	This has pink stripes and again the mouth is cut off	26629	speaker	30755	chatMessage		
4	fish_white_stripes_or_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930832008	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	Weird~~~ 	5591	listener	43166	chatMessage		
5	fish_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930856893	listener	fish-fangs_present	fish-body_color-orange	fish-fangs_present-true	white body and I see no mouth	9075	speaker	20542	chatMessage		
6	flowers_purple_centers_or_orange_stems_with_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930902958	listener	flower-center_color-purple	flower-center_color-white	flower-petals_color-purple	orange leaves and pink center	23197	speaker	35714	chatMessage		
